compound,cid,tier,anchor_for,state,seed,top1,top3_mean,top5_mean,n_modes,ok,wall_s,mw,logp,pains,brenk,lipinski_ok,n_pose_clusters
Methotrexate,126941,1,Methotrexate (MTX),apo,42,-9.127,-9.107666666666667,-8.973,10,True,23.4,454.44700000000023,0.2684000000000003,False,False,True,1
Methotrexate,126941,1,Methotrexate (MTX),apo,7,-10.06,-10.040000000000001,-9.9118,10,True,25.45,454.44700000000023,0.2684000000000003,False,False,True,0
Methotrexate,126941,1,Methotrexate (MTX),holo,42,-6.882,-6.660333333333334,-6.505600000000001,10,True,35.69,454.44700000000023,0.2684000000000003,False,False,True,2
Methotrexate,126941,1,Methotrexate (MTX),holo,7,-6.754,-6.489999999999999,-6.370799999999999,10,True,33.69,454.44700000000023,0.2684000000000003,False,False,True,3
Raltitrexed,104758,1,"Raltitrexed (D16, Tomudex)",apo,42,-8.915,-8.864333333333335,-8.799800000000001,10,True,22.4,458.4960000000002,1.9772199999999995,False,False,True,0
Raltitrexed,104758,1,"Raltitrexed (D16, Tomudex)",apo,7,-9.352,-9.212666666666665,-9.0672,10,True,22.32,458.4960000000002,1.9772199999999995,False,False,True,1
Raltitrexed,104758,1,"Raltitrexed (D16, Tomudex)",holo,42,-5.77,-5.576999999999999,-5.5172,10,True,30.67,458.4960000000002,1.9772199999999995,False,False,True,0
Raltitrexed,104758,1,"Raltitrexed (D16, Tomudex)",holo,7,-6.783,-6.711666666666666,-6.6366,10,True,23.58,458.4960000000002,1.9772199999999995,False,False,True,0
Pemetrexed,135410875,1,"Pemetrexed (S, Alimta)",apo,42,-9.657,-9.612,-9.511,10,True,16.09,427.4170000000002,0.6664,False,False,False,3
Pemetrexed,135410875,1,"Pemetrexed (S, Alimta)",apo,7,-9.781,-9.736333333333333,-9.6376,10,True,16.42,427.4170000000002,0.6664,False,False,False,2
Pemetrexed,135410875,1,"Pemetrexed (S, Alimta)",holo,42,-6.739,-6.645,-6.583,10,True,23.74,427.4170000000002,0.6664,False,False,False,1
Pemetrexed,135410875,1,"Pemetrexed (S, Alimta)",holo,7,-6.679,-6.576333333333334,-6.474200000000001,10,True,24.05,427.4170000000002,0.6664,False,False,False,0
Nolatrexed,135400184,1,"Nolatrexed (AG-337, Thymitaq)",apo,42,-7.585,-7.509,-7.443600000000001,10,True,4.56,284.344,2.35992,False,False,True,0
