compound,state,tier,anchor_for,cid,n_seeds,top1_mean,top1_min,top1_max,top1_sd,mw,logp,pains,brenk,lipinski_ok,delta_vs_dump,significant_p085,beats_dump
dUMP,apo,1,dUMP,65063,2,-8.782,-8.787,-8.777,0.005000000000000782,308.183,-1.7056999999999998,False,True,True,0.0,False,False
dUMP,holo,1,dUMP,65063,2,-7.494999999999999,-7.504,-7.486,0.008999999999999897,308.183,-1.7056999999999998,False,True,True,0.0,False,False
5-FdUMP,apo,1,5-FdUMP,8642,2,-9.051,-9.065,-9.037,0.013999999999999346,326.173,-1.5665999999999998,False,True,True,-0.26900000000000013,False,False
5-FdUMP,holo,1,5-FdUMP,8642,2,-7.917,-7.942,-7.892,0.02499999999999991,326.173,-1.5665999999999998,False,True,True,-0.4220000000000006,False,False
BrdUMP,apo,1,BrdUMP,93036,2,-8.8785,-8.896,-8.861,0.01750000000000007,387.07900000000006,-0.9431999999999998,False,True,True,-0.0965000000000007,False,False
BrdUMP,holo,1,BrdUMP,93036,2,-6.6605,-6.676,-6.645,0.015500000000000291,387.07900000000006,-0.9431999999999998,False,True,True,0.8344999999999994,False,False
Floxuridine,apo,1,Floxuridine (FdUR / 5-FdUrd),5790,2,-7.4725,-7.481,-7.464,0.00849999999999973,246.194,-1.6835999999999998,False,False,True,1.3094999999999999,True,False
Floxuridine,holo,1,Floxuridine (FdUR / 5-FdUrd),5790,2,-6.6850000000000005,-6.688,-6.682,0.0029999999999996696,246.194,-1.6835999999999998,False,False,True,0.8099999999999987,False,False
5-FU,apo,1,5-FU (precursor sanity panel),3385,2,-4.948,-4.955,-4.941,0.007000000000000117,130.07799999999997,-0.7977000000000001,False,False,True,3.8339999999999996,True,False
5-FU,holo,1,5-FU (precursor sanity panel),3385,2,-5.2515,-5.262,-5.241,0.010499999999999954,130.07799999999997,-0.7977000000000001,False,False,True,2.243499999999999,True,False
decoy_CID6253,apo,2,dUMP_decoy,6253,2,-6.137,-6.137,-6.137,0.0,243.21900000000002,-2.562999999999999,False,False,True,2.6450000000000005,True,False
decoy_CID6253,holo,2,dUMP_decoy,6253,2,-5.6485,-5.653,-5.644,0.0044999999999997264,243.21900000000002,-2.562999999999999,False,False,True,1.846499999999999,True,False
decoy_CID60750,apo,2,dUMP_decoy,60750,2,-6.6575,-6.664,-6.651,0.00649999999999995,263.2,-1.2886000000000004,False,False,True,2.1245000000000003,True,False
decoy_CID60750,holo,2,dUMP_decoy,60750,2,-5.2795000000000005,-5.28,-5.279,0.000500000000000167,263.2,-1.2886000000000004,False,False,True,2.2154999999999987,True,False
decoy_CID6035,apo,2,dUMP_decoy,6035,2,-7.4595,-7.466,-7.453,0.00649999999999995,307.1,-1.0602,False,False,True,1.3224999999999998,True,False
decoy_CID6035,holo,2,dUMP_decoy,6035,2,-5.2204999999999995,-5.225,-5.216,0.0044999999999997264,307.1,-1.0602,False,False,True,2.2744999999999997,True,False
