compound,state,tier,anchor_for,cid,n_seeds,top1_mean,top1_min,top1_max,top1_sd,mw,logp,pains,brenk,lipinski_ok,delta_vs_raltitrexed,beats_raltitrexed
Methotrexate,apo,1,Methotrexate (MTX),126941,2,-9.5935,-10.06,-9.127,0.4664999999999999,454.44700000000023,0.2684000000000003,False,False,True,-0.46000000000000085,False
Methotrexate,holo,1,Methotrexate (MTX),126941,2,-6.818,-6.882,-6.754,0.06400000000000006,454.44700000000023,0.2684000000000003,False,False,True,-0.5414999999999992,False
Raltitrexed,apo,1,"Raltitrexed (D16, Tomudex)",104758,2,-9.1335,-9.352,-8.915,0.21850000000000058,458.4960000000002,1.9772199999999995,False,False,True,0.0,False
Raltitrexed,holo,1,"Raltitrexed (D16, Tomudex)",104758,2,-6.2765,-6.783,-5.77,0.5065000000000004,458.4960000000002,1.9772199999999995,False,False,True,0.0,False
Pemetrexed,apo,1,"Pemetrexed (S, Alimta)",135410875,2,-9.719000000000001,-9.781,-9.657,0.06200000000000028,427.4170000000002,0.6664,False,False,False,-0.5855000000000015,False
Pemetrexed,holo,1,"Pemetrexed (S, Alimta)",135410875,2,-6.709,-6.739,-6.679,0.029999999999999805,427.4170000000002,0.6664,False,False,False,-0.4324999999999992,False
Nolatrexed,apo,1,"Nolatrexed (AG-337, Thymitaq)",135400184,2,-7.5735,-7.585,-7.562,0.011499999999999844,284.344,2.35992,False,False,True,1.5599999999999996,False
Nolatrexed,holo,1,"Nolatrexed (AG-337, Thymitaq)",135400184,2,-5.4905,-5.5,-5.481,0.009500000000000064,284.344,2.35992,False,False,True,0.7860000000000005,False
Plevitrexed,apo,1,"Plevitrexed (ZD9331, BGC9331)",135430970,2,-10.0105,-10.07,-9.951,0.059499999999999886,532.5360000000002,1.647739999999999,False,True,False,-0.8770000000000007,True
Plevitrexed,holo,1,"Plevitrexed (ZD9331, BGC9331)",135430970,2,-7.026,-7.063,-6.989,0.03699999999999992,532.5360000000002,1.647739999999999,False,True,False,-0.7494999999999994,False
decoy_CID5212,apo,2,raltitrexed_decoy,5212,2,-9.341999999999999,-9.366,-9.318,0.02400000000000002,474.5870000000004,1.6109,False,False,True,-0.20849999999999902,False
decoy_CID5212,holo,2,raltitrexed_decoy,5212,2,-5.986,-6.449,-5.523,0.4630000000000001,474.5870000000004,1.6109,False,False,True,0.29050000000000065,False
decoy_CID60843,apo,2,raltitrexed_decoy,60843,2,-9.633,-9.805,-9.461,0.1719999999999997,427.4170000000002,0.6664,False,False,False,-0.4994999999999994,False
decoy_CID60843,holo,2,raltitrexed_decoy,60843,2,-6.8415,-6.852,-6.831,0.010499999999999954,427.4170000000002,0.6664,False,False,False,-0.5649999999999995,False
decoy_CID100049,apo,2,raltitrexed_decoy,100049,2,-7.5625,-7.602,-7.523,0.03950000000000031,364.4420000000001,2.5528999999999993,False,False,True,1.5709999999999997,False
decoy_CID100049,holo,2,raltitrexed_decoy,100049,2,-5.699,-5.7,-5.698,0.0009999999999998899,364.4420000000001,2.5528999999999993,False,False,True,0.5775000000000006,False
decoy_CID5359476,apo,2,raltitrexed_decoy,5359476,2,-8.991,-9.009,-8.973,0.017999999999999794,398.40000000000015,1.8001999999999998,True,True,True,0.14250000000000007,False
decoy_CID5359476,holo,2,raltitrexed_decoy,5359476,2,-6.783,-6.791,-6.775,0.008000000000000007,398.40000000000015,1.8001999999999998,True,True,True,-0.5065,False
