fragment,cid,cavity_id,cavity_centre_x,cavity_centre_y,cavity_centre_z,cavity_druggability,d_active_site,seed,top1,top3_mean,ok,wall_s,mw,logp
frag_CID1983,1983,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.527,-4.465,True,2.47,151.165,1.3505999999999998
frag_CID2244,2244,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.638,-4.586333333333333,True,2.91,180.15899999999996,1.3101
frag_CID2519,2519,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.776,-4.743666666666666,True,1.5,194.194,-1.0293
frag_CID3672,3672,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.917,-4.86,True,3.88,206.28499999999997,3.073200000000001
frag_CID4173,4173,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.2,-4.0793333333333335,True,3.22,171.15599999999998,0.09201999999999982
frag_CID5564,5564,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-5.024,-4.944333333333334,True,4.77,289.54499999999996,5.144700000000002
frag_CID6202,6202,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,,,False,,337.27599999999995,-1.966459999999998
frag_CID6253,6253,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-5.521,-5.3676666666666675,True,7.03,243.21900000000002,-2.562999999999999
frag_CID7032,7032,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.873,-4.763333333333333,True,5.91,242.27399999999997,2.934800000000001
frag_CID8094,8094,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-3.991,-3.8673333333333333,True,3.9,130.187,2.0414
frag_CID8654,8654,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,,,False,,342.36,-1.4409999999999992
frag_CID9087,9087,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.643,-4.459333333333333,True,5.05,171.156,-0.9517999999999993
frag_CID10257,10257,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-5.305,-4.976666666666667,True,7.43,204.273,1.9776000000000002
frag_CID13558,13558,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-3.761,-3.6750000000000003,True,2.77,128.259,3.468700000000003
frag_CID14888,14888,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,,,False,,197.841,-1.118
