,Homo_sapiens,Mus_musculus,Rattus_norvegicus,Escherichia_coli,Lactobacillus_casei,Saccharomyces_cerevisiae,Drosophila_melanogaster,Arabidopsis_thaliana,Bacteriophage_T4,Plasmodium_falciparum
Homo_sapiens,0.0000,0.0838,0.0874,0.4675,0.5342,0.3699,0.3415,0.3722,0.5340,0.4742
Mus_musculus,0.0838,0.0000,0.0298,0.4654,0.5210,0.3629,0.3258,0.3654,0.5306,0.4578
Rattus_norvegicus,0.0874,0.0298,0.0000,0.4668,0.5223,0.3680,0.3185,0.3507,0.5312,0.4620
Escherichia_coli,0.4675,0.4654,0.4668,0.0000,0.4169,0.4661,0.4668,0.4986,0.5067,0.5222
Lactobacillus_casei,0.5342,0.5210,0.5223,0.4169,0.0000,0.4928,0.4809,0.5274,0.5769,0.5585
Saccharomyces_cerevisiae,0.3699,0.3629,0.3680,0.4661,0.4928,0.0000,0.3178,0.3845,0.5542,0.4519
Drosophila_melanogaster,0.3415,0.3258,0.3185,0.4668,0.4809,0.3178,0.0000,0.3738,0.5333,0.4778
Arabidopsis_thaliana,0.3722,0.3654,0.3507,0.4986,0.5274,0.3845,0.3738,0.0000,0.5299,0.4649
Bacteriophage_T4,0.5340,0.5306,0.5312,0.5067,0.5769,0.5542,0.5333,0.5299,0.0000,0.6000
Plasmodium_falciparum,0.4742,0.4578,0.4620,0.5222,0.5585,0.4519,0.4778,0.4649,0.6000,0.0000
