model_id,model_pdb,rmsd_to_crystal,n_atoms_aligned
1,target.B99990001.pdb,0.38843876123428345,254
2,target.B99990002.pdb,0.3718796372413635,263
3,target.B99990003.pdb,0.3708752989768982,258
4,target.B99990004.pdb,0.38882139325141907,265
5,target.B99990005.pdb,0.3858116567134857,258
6,target.B99990006.pdb,0.38974085450172424,260
7,target.B99990007.pdb,0.38454777002334595,267
8,target.B99990008.pdb,0.369767427444458,246
9,target.B99990009.pdb,0.38658449053764343,250
10,target.B99990010.pdb,0.3666912317276001,259
